sheet,card_name,url,status,card_file,note
gen1e3,"Dark Lord","https://static.wixstatic.com/media/f87b85_4cc635c085e149878730bce5171f5606~mv2.png/v1/fit/w_480,h_850,q_90,enc_avif,quality_auto/f87b85_4cc635c085e149878730bce5171f5606~mv2.png",MATCHED,data/cards/src/gen1/035-dark-lord.json,target=generation=1;edition=3rd edition
gen1e3,"Demonic Magic","https://static.wixstatic.com/media/f87b85_05ca1e8a441e460e81a17ea400c24183~mv2.png/v1/fit/w_480,h_850,q_90,enc_avif,quality_auto/f87b85_05ca1e8a441e460e81a17ea400c24183~mv2.png",MATCHED,data/cards/src/gen1/039-demonic-magic.json,target=generation=1;edition=3rd edition
gen1e3,"Death from Above","https://static.wixstatic.com/media/f87b85_5cd5c0a1460c483880610067c479869b~mv2.png/v1/fit/w_480,h_855,q_90,enc_avif,quality_auto/f87b85_5cd5c0a1460c483880610067c479869b~mv2.png",MATCHED,data/cards/src/gen1/036-death-from-above.json,target=generation=1;edition=3rd edition
gen1e3,"Allosaurus","https://static.wixstatic.com/media/f87b85_5d2dbca923c84d98ad9fd7c7efb735ba~mv2.png/v1/fit/w_480,h_855,q_90,enc_avif,quality_auto/f87b85_5d2dbca923c84d98ad9fd7c7efb735ba~mv2.png",MATCHED,data/cards/src/gen1/123-allosaurus.json,target=generation=1;edition=3rd edition
gen1e3,"Blade in the Dark","https://static.wixstatic.com/media/f87b85_8bbffe2ae0fd4626982d34a396d6c7ca~mv2.png/v1/fit/w_480,h_855,q_90,enc_avif,quality_auto/f87b85_8bbffe2ae0fd4626982d34a396d6c7ca~mv2.png",MATCHED,data/cards/src/gen1/028-blade-in-the-dark.json,target=generation=1;edition=3rd edition
gen1e3,"Dark Elf","https://static.wixstatic.com/media/f87b85_8f59313e9f0d49cdbf6de1d9f33467af~mv2.png/v1/fit/w_480,h_850,q_90,enc_avif,quality_auto/f87b85_8f59313e9f0d49cdbf6de1d9f33467af~mv2.png",MATCHED,data/cards/src/gen1/033-dark-elf.json,target=generation=1;edition=3rd edition
gen1e3,"Dark Knight","https://static.wixstatic.com/media/f87b85_24e02e7c1baa4a9285895f044df546ad~mv2.png/v1/fit/w_480,h_855,q_90,enc_avif,quality_auto/f87b85_24e02e7c1baa4a9285895f044df546ad~mv2.png",MATCHED,data/cards/src/gen1/034-dark-knight.json,target=generation=1;edition=3rd edition
gen1e3,"Demon King","https://static.wixstatic.com/media/f87b85_53f4523df9ac4b898e88e7fc79a4c2b2~mv2.png/v1/fit/w_480,h_855,q_90,enc_avif,quality_auto/f87b85_53f4523df9ac4b898e88e7fc79a4c2b2~mv2.png",MATCHED,data/cards/src/gen1/037-demon-king.json,target=generation=1;edition=3rd edition
gen1e3,"Demon Knight","https://static.wixstatic.com/media/f87b85_60edcc5087bd45838b0ee068bf9c4421~mv2.png/v1/fit/w_480,h_855,q_90,enc_avif,quality_auto/f87b85_60edcc5087bd45838b0ee068bf9c4421~mv2.png",MATCHED,data/cards/src/gen1/038-demon-knight.json,target=generation=1;edition=3rd edition
gen1e3,"Cosmic Demon","https://static.wixstatic.com/media/f87b85_68a4cd647c934932a17df3d18037e877~mv2.png/v1/fit/w_480,h_855,q_90,enc_avif,quality_auto/f87b85_68a4cd647c934932a17df3d18037e877~mv2.png",MATCHED,data/cards/src/gen1/031-cosmic-demon.json,target=generation=1;edition=3rd edition
